"","modelIdx","stdMake","stdModel","cp","numb","Segment","Subsegment","highprice","meanprice","lowprice","type","typedif","typeper","oil","level"
"132",142,"Changan Ford","Ford Focus","Changan FordFord Focus",86048,"Passenger Car","Midsize",1.658,1.31890243902439,0.998,"轿车",1,1,7.30914634146342,"紧凑型车"
"133",161,"Volvo China","Volvo S80L","Volvo ChinaVolvo S80L",1,"Luxury Car","Midsize Luxury",7.199,4.98170588235294,3.68,"轿车",1,1,10.0691176470588,"中大型车"
"134",168,"Greatwall","Haval H5","GreatwallHaval H5",8281,"SUV","Compact SUV",1.708,1.24879027355623,0.928,"SUV",1,1,8.83825136612022,"中型车"
"135",201,"Chery","Chery E3","CheryChery E3",4624,"Passenger Car","Compact",0.679,0.594,0.529,"轿车",1,1,6.16666666666667,"小型车"
"136",203,"Chery","Chery Eastar","CheryChery Eastar",1,"Passenger Car","Midsize Basic",2.018,1.16101485148515,0.818,"轿车",2,0.86697247706422,7.17136150234742,"中型车"
"137",207,"Chery","Riich G6","CheryRiich G6",1,"Passenger Car","Midsize",5,2.49823529411765,1.898,"轿车",1,1,12.6,"中大型车"
"138",220,"Chevrolet","Chevrolet Corvette","ChevroletChevrolet Corvette",8,"Sports Car","Large Sports",18,17.5258064516129,15.6,"跑车",2,0.67741935483871,NA,"中型车"
"139",279,"Dongfeng","Fengshen H30 Cross","DongfengFengshen H30 Cross",22,"Passenger Car","Midsize Basic",0.918,0.815155172413793,0.658,"轿车",1,1,6.81810344827586,"紧凑型车"
"140",280,"Dongfeng","Fengshen S30","DongfengFengshen S30",464,"Passenger Car","Midsize Basic",0.998,0.789702127659574,0.598,"轿车",1,1,7.1822695035461,"紧凑型车"
"141",290,"Dongfeng Honda","Honda Spirior","Dongfeng HondaHonda Spirior",10110,"Passenger Car","Midsize Upper",2.718,2.31969090909091,1.798,"轿车",1,1,7.70545454545455,"中型车"
"142",293,"Dongfeng Nissan","Nissan Geniss","Dongfeng NissanNissan Geniss",1,"MPV","Compact MPV",1.623,1.525890625,1.388,"MPV",1,1,8.0375,"中型车"
"143",299,"Dongfeng Nissan","Nissan Sylphy","Dongfeng NissanNissan Sylphy",186406,"Passenger Car","Midsize",2.148,1.45596026490066,0.998,"轿车",1,1,7.07483443708609,"紧凑型车"
"144",311,"Dongfeng Peugeot","Peugeot 301","Dongfeng PeugeotPeugeot 301",22064,"Passenger Car","Midsize Basic",1.197,0.996473684210526,0.847,"轿车",1,1,6.97735849056604,"紧凑型车"
"145",322,"Dongfeng Yueda Kia","Kia K5","Dongfeng Yueda KiaKia K5",16713,"Passenger Car","Midsize Upper",2.518,1.97557037037037,1.598,"轿车",1,1,7.47591240875912,"中型车"
"146",350,"FAW Audi","Audi Q5","FAW AudiAudi Q5",64929,"Luxury SUV","Midsize Luxury SUV",5.717,4.67165137614679,3.585,"SUV",1,1,8.93302752293578,"中型车"
"147",351,"FAW Car","Besturn B50","FAW CarBesturn B50",9963,"Passenger Car","Midsize",1.258,1.03163636363636,0.698,"轿车",1,1,7.86198347107438,"紧凑型车"
"148",353,"FAW Car","Besturn B90","FAW CarBesturn B90",118,"Passenger Car","Midsize Upper",2.018,1.68625,1.398,"轿车",1,1,9.005,"中型车"
